measurement number,displacement,cylinders,weight,acceleration,mpg
0,307.0,8,3504,12.0,18.0
1,350.0,8,3693,11.5,15.0
2,318.0,8,3436,11.0,18.0
3,304.0,8,3433,12.0,16.0
4,302.0,8,3449,10.5,17.0
5,429.0,8,4341,10.0,15.0
6,454.0,8,4354,9.0,14.0
7,440.0,8,4312,8.5,14.0
8,455.0,8,4425,10.0,14.0
9,390.0,8,3850,8.5,15.0
10,383.0,8,3563,10.0,15.0
11,340.0,8,3609,8.0,14.0
12,400.0,8,3761,9.5,15.0
13,455.0,8,3086,10.0,14.0
14,113.0,4,2372,15.0,24.0
15,198.0,6,2833,15.5,22.0
16,199.0,6,2774,15.5,18.0
17,200.0,6,2587,16.0,21.0
18,97.0,4,2130,14.5,27.0
19,97.0,4,1835,20.5,26.0
20,110.0,4,2672,17.5,25.0
21,107.0,4,2430,14.5,24.0
22,104.0,4,2375,17.5,25.0
23,121.0,4,2234,12.5,26.0
24,199.0,6,2648,15.0,21.0
25,360.0,8,4615,14.0,10.0
26,307.0,8,4376,15.0,10.0
27,318.0,8,4382,13.5,11.0
28,304.0,8,4732,18.5,9.0
29,97.0,4,2130,14.5,27.0
30,140.0,4,2264,15.5,28.0
31,113.0,4,2228,14.0,25.0
32,98.0,4,2046,19.0,25.0
33,232.0,6,2634,13.0,19.0
34,225.0,6,3439,15.5,16.0
35,250.0,6,3329,15.5,17.0
36,250.0,6,3302,15.5,19.0
37,232.0,6,3288,15.5,18.0
38,350.0,8,4209,12.0,14.0
39,400.0,8,4464,11.5,14.0
40,351.0,8,4154,13.5,14.0
41,318.0,8,4096,13.0,14.0
42,383.0,8,4955,11.5,12.0
43,400.0,8,4746,12.0,13.0
44,400.0,8,5140,12.0,13.0
45,258.0,6,2962,13.5,18.0
46,140.0,4,2408,19.0,22.0
47,250.0,6,3282,15.0,19.0
48,250.0,6,3139,14.5,18.0
49,122.0,4,2220,14.0,23.0
50,116.0,4,2123,14.0,28.0
51,79.0,4,2074,19.5,30.0
52,88.0,4,2065,14.5,30.0
